link_name,group
link_0001,7
link_0003,7
link_0004,5
link_0005,5
link_0006,3
link_0007,5
link_0008,14
link_0009,3
link_0010,3
link_0011,3
link_0012,3
link_0013,3
link_0014,5
link_0015,3
link_0016,3
link_0017,14
link_0018,5
link_0019,3
link_0020,3
link_0021,3
link_0022,3
link_0023,3
link_0024,3
link_0025,3
link_0026,3
link_0027,3
link_0028,3
link_0029,3
link_0030,3
link_0031,3
link_0032,3
link_0033,3
link_0069,3
link_0073,10
link_0074,14
link_0075,10
link_0076,3
link_0077,3
link_0078,3
link_0079,3
link_0080,3
link_0081,3
link_0082,5
link_0083,7
link_0084,14
link_0085,10
link_0086,14
link_0087,6
link_0088,5
link_0089,11
link_0090,7
link_0091,5
link_0092,7
link_0093,7
link_0094,14
link_0095,11
link_0096,14
link_0097,14
link_0098,3
link_0099,3
link_0100,11
link_0101,11
link_0102,5
link_0103,14
link_0104,6
link_0105,14
link_0106,5
link_0107,5
link_0108,11
link_0109,6
link_0110,3
link_0145,11
link_0146,3
link_0147,3
link_0148,14
link_0149,11
link_0150,11
link_0151,6
link_0152,14
link_0153,7
link_0154,14
link_0155,11
link_0164,3
link_0165,3
link_0166,3
link_0167,7
link_0168,3
link_0169,3
link_0170,5
link_0171,3
link_0172,3
link_0173,3
link_0174,3
link_0175,5
link_0176,5
link_0177,3
link_0178,3
link_0179,14
link_0180,3
link_0181,3
link_0182,5
link_0183,5
link_0184,5
link_0185,10
link_0186,10
link_0187,5
link_0188,3
link_0189,5
link_0190,3
link_0228,5
link_0229,5
link_0230,3
link_0231,3
link_0232,3
link_0233,3
link_0234,3
link_0235,5
link_0236,3
link_0297,11
link_0298,11
link_0299,3
link_0300,3
link_0314,3
link_0315,5
link_0316,5
link_0327,3
link_0328,7
link_0329,10
link_0330,3
link_0331,3
link_0364,3
link_0365,5
link_0366,3
link_0367,11
link_0373,5
link_0374,5
link_0375,5
link_0376,5
link_0377,3
link_0378,3
link_0382,3
link_0383,10
link_0384,10
link_0385,10
link_0386,10
link_0387,3
link_0388,3
link_0393,3
link_0395,3
link_0411,14
link_0412,3
link_0413,3
link_0414,3
link_0425,3
link_0426,14
link_0427,3
link_0428,10
link_0452,10
link_0461,10
link_0462,5
link_0463,5
link_0469,7
link_0470,11
link_0471,10
link_0472,10
link_0512,5
link_0520,3
link_0521,3
link_0522,3
link_0523,3
link_0524,3
link_0525,3
link_0526,3
link_0527,3
link_0528,3
link_0529,3
link_0530,11
link_0531,5
link_0532,3
link_0533,3
link_0534,3
link_0535,3
link_0536,3
link_0537,3
link_0539,5
link_0540,3
link_0541,3
link_0542,10
link_0543,10
link_0544,14
link_0545,5
link_0549,3
link_0553,14
link_0564,3
link_0565,3
link_0566,3
link_0567,3
link_0572,14
link_0573,14
link_0574,3
link_0575,11
link_0579,5
link_0580,5
link_0585,5
link_0586,3
link_0587,9
link_0590,14
link_0591,14
link_0594,10
link_0595,14
link_0597,14
link_0598,14
link_0599,14
link_0603,14
link_0604,14
link_0605,14
link_0616,3
link_0617,7
link_0618,3
link_0619,3
link_0620,7
link_0621,3
link_0622,7
link_0623,11
link_0627,14
link_0628,10
link_0629,14
link_0630,10
link_0631,10
link_0632,10
link_0633,3
link_0634,14
link_0635,14
link_0636,14
link_0637,3
link_0638,10
link_0639,10
link_0640,14
link_0641,3
link_0642,3
link_0643,14
link_0644,14
link_0645,9
link_0646,14
link_0647,9
link_0648,14
link_0649,3
link_0650,3
link_0651,3
link_0652,3
link_0653,14
link_0654,3
link_0655,14
link_0656,14
link_0657,14
link_0658,5
link_0659,14
link_0660,14
link_0661,14
link_0662,14
link_0663,14
link_0664,5
link_0665,14
link_0666,14
link_0667,3
link_0668,3
link_0669,3
link_0670,14
link_0671,14
link_0672,3
link_0673,3
link_0674,3
link_0675,14
link_0676,3
link_0677,4
link_0678,4
link_0679,11
link_0680,14
link_0681,13
link_0682,9
link_0683,14
link_0684,14
link_0685,5
link_0686,3
link_0687,5
link_0688,5
link_0689,14
link_0690,14
link_0691,3
link_0692,3
link_0693,8
link_0694,8
link_0695,8
link_0696,8
link_0697,8
link_0698,8
link_0699,10
link_0700,10
link_0701,10
link_0702,8
link_0703,4
link_0704,8
link_0705,10
link_0706,14
link_0707,14
link_0708,10
link_0709,10
link_0710,13
link_0711,3
link_0712,3
link_0713,13
link_0714,13
link_0715,3
link_0716,3
link_0717,4
link_0720,4
link_0721,3
link_0722,3
link_0723,4
link_0724,3
link_0725,10
link_0726,13
link_0727,14
link_0728,14
link_0729,13
link_0730,14
link_0731,4
link_0732,5
link_0733,14
link_0734,14
link_0735,14
link_0736,14
link_0737,14
link_0738,14
link_0739,10
link_0740,13
link_0741,3
link_0742,9
link_0743,9
link_0744,5
link_0745,3
link_0794,14
link_0795,14
link_0796,14
link_0923,4
link_0924,4
link_0925,14
link_0926,14
link_0927,14
link_0928,14
link_0929,3
link_0930,4
link_0931,13
link_0932,5
link_0933,5
link_0934,14
link_0935,14
link_0936,5
link_0937,3
link_0938,3
link_0939,3
link_0940,14
link_0941,14
link_0959,5
link_0960,14
link_0961,14
link_0962,14
link_0963,14
link_0964,4
link_0965,5
link_0966,14
link_0967,14
link_0972,4
link_0973,4
link_0979,5
link_0985,4
link_0987,4
link_0988,4
link_0989,3
link_0990,4
link_0991,13
link_0992,13
link_0993,4
link_1002,4
link_1003,3
link_1004,11
link_1010,10
link_1011,4
link_1012,3
link_1013,4
link_1014,4
link_1015,4
link_1016,3
link_1018,3
link_1019,11
link_1038,3
link_1039,13
link_1041,13
link_1042,4
link_1043,3
link_1044,3
link_1045,10
link_1046,4
link_1047,13
link_1048,13
link_1049,10
link_1050,3
link_1051,13
link_1052,3
link_1053,10
link_1054,4
link_1055,4
link_1056,10
link_1057,10
link_1058,4
link_1059,4
link_1060,4
link_1061,3
link_1062,3
link_1063,4
link_1064,3
link_1065,4
link_1066,5
link_1067,3
link_1068,4
link_1069,4
link_1070,4
link_1071,5
link_1072,4
link_1073,5
link_1074,5
link_1075,13
link_1076,13
link_1077,10
link_1078,3
link_1079,13
link_1080,10
link_1081,5
link_1082,5
link_1083,13
link_1084,5
link_1085,4
link_1086,4
link_1087,4
link_1088,13
link_1089,5
link_1090,11
link_1091,4
link_1092,3
link_1093,5
link_1094,13
link_1095,4
link_1096,5
link_1097,5
