flow,pressure
0.000000000000000000e+00,3.500000000000000000e+01
0.000000000000000000e+00,9.150125390409447945e+00
4.964539007092198530e-01,9.148568747352980424e+00
7.446808510638297518e-01,9.150091817881197187e+00
9.929078014184397061e-01,9.154694601994096459e+00
1.241134751773049549e+00,9.162377099691680016e+00
1.489361702127659504e+00,9.173139310973944305e+00
1.737588652482269458e+00,9.186981235840892879e+00
1.985815602836879412e+00,9.203902874292522185e+00
2.234042553191489144e+00,9.223904226328835776e+00
2.482269503546099099e+00,9.246985291949831876e+00
2.730496453900709053e+00,9.273146071155510484e+00
2.978723404255319007e+00,9.302386563945873377e+00
3.226950354609928961e+00,9.334706770320917002e+00
3.475177304964538916e+00,9.370106690280644912e+00
3.723404255319148870e+00,9.408586323825055331e+00
3.971631205673758824e+00,9.450145670954148258e+00
4.219858156028368334e+00,9.494784731667923694e+00
4.468085106382978289e+00,9.542503505966381638e+00
4.716312056737588243e+00,9.593301993849523868e+00
4.964539007092198197e+00,9.647180195317346829e+00
5.212765957446808152e+00,9.704138110369854076e+00
5.460992907801418106e+00,9.764175739007043830e+00
5.709219858156028060e+00,9.827293081228916094e+00
5.957446808510638014e+00,9.893490137035472642e+00
6.205673758865247969e+00,9.962766906426709923e+00
6.453900709219857923e+00,1.003512338940263149e+01
6.702127659574467877e+00,1.011055958596323379e+01
6.950354609929077832e+00,1.018907549610852037e+01
7.198581560283687786e+00,1.027067111983848946e+01
7.446808510638297740e+00,1.035534645715314284e+01
7.695035460992907694e+00,1.044310150805247694e+01
7.943262411347517649e+00,1.053393627253649534e+01
8.191489361702126715e+00,1.062785075060519446e+01
8.439716312056736669e+00,1.072484494225857787e+01
8.687943262411346623e+00,1.082491884749664379e+01
8.936170212765956578e+00,1.092807246631939222e+01
9.184397163120566532e+00,1.103430579872682493e+01
9.432624113475176486e+00,1.114361884471893838e+01
9.680851063829786440e+00,1.125601160429573611e+01
9.929078014184396395e+00,1.137148407745721634e+01
1.017730496453900635e+01,1.149003626420337909e+01
1.042553191489361630e+01,1.161166816453422435e+01
1.067375886524822626e+01,1.173637977844975211e+01
1.092198581560283621e+01,1.186417110594996416e+01
1.117021276595744617e+01,1.199504214703485871e+01
1.141843971631205612e+01,1.212899290170443578e+01
1.166666666666666607e+01,1.226602336995869535e+01
1.191489361702127603e+01,1.240613355179763744e+01
1.216312056737588598e+01,1.254932344722126203e+01
1.241134751773049594e+01,1.269559305622956913e+01
1.265957446808510589e+01,1.284494237882256051e+01
1.290780141843971585e+01,1.299737141500023441e+01
1.315602836879432580e+01,1.315288016476259081e+01
1.340425531914893575e+01,1.331146862810962972e+01
1.365248226950354571e+01,1.347313680504135114e+01
1.390070921985815566e+01,1.363788469555775507e+01
1.414893617021276562e+01,1.380571229965884328e+01
1.439716312056737557e+01,1.397661961734461400e+01
1.464539007092198553e+01,1.415060664861506723e+01
1.489361702127659548e+01,1.432767339347020297e+01
1.514184397163120543e+01,1.450781985191002121e+01
1.539007092198581539e+01,1.469104602393452197e+01
1.563829787234042534e+01,1.487735190954370701e+01
1.588652482269503530e+01,1.506673750873757456e+01
1.613475177304964348e+01,1.525920282151612284e+01
1.638297872340425343e+01,1.545474784787935363e+01
1.663120567375886338e+01,1.565337258782727048e+01
1.687943262411347334e+01,1.585507704135986984e+01
1.712765957446808329e+01,1.605986120847715171e+01
1.737588652482269325e+01,1.626772508917911253e+01
1.762411347517730320e+01,1.647866868346575941e+01
1.787234042553191316e+01,1.669269199133708881e+01
1.812056737588652311e+01,1.690979501279310071e+01
1.836879432624113306e+01,1.712997774783379512e+01
1.861702127659574302e+01,1.735324019645917559e+01
1.886524822695035297e+01,1.757958235866923502e+01
1.911347517730496293e+01,1.780900423446397696e+01
1.936170212765957288e+01,1.804150582384340495e+01
1.960992907801418283e+01,1.827708712680751191e+01
1.985815602836879279e+01,1.851574814335630492e+01
2.010638297872340274e+01,1.875748887348977689e+01
2.035460992907801270e+01,1.900230931720793848e+01
2.060283687943262265e+01,1.925020947451077546e+01
2.085106382978723261e+01,1.950118934539829851e+01
2.109929078014184256e+01,1.975524892987050407e+01
2.134751773049645251e+01,2.001238822792739214e+01
2.159574468085106247e+01,2.027260723956896271e+01
2.184397163120567242e+01,2.053590596479521935e+01
2.209219858156028238e+01,2.080228440360615849e+01
2.234042553191489233e+01,2.107174255600177304e+01
2.258865248226950229e+01,2.134428042198207720e+01
2.283687943262411224e+01,2.161989800154706387e+01
2.308510638297872219e+01,2.189859529469672950e+01
2.333333333333333215e+01,2.218037230143108118e+01
2.358156028368794210e+01,2.246522902175011183e+01
2.382978723404255206e+01,2.275316545565383208e+01
2.407801418439716201e+01,2.304418160314223130e+01
2.432624113475177197e+01,2.333827746421530946e+01
2.457446808510638192e+01,2.363545303887307725e+01
2.482269503546099187e+01,2.393570832711552399e+01
2.507092198581560183e+01,2.423904332894265679e+01
2.531914893617021178e+01,2.454545804435446854e+01
2.556737588652482174e+01,2.485495247335096636e+01
2.581560283687943169e+01,2.516752661593214313e+01
2.606382978723404165e+01,2.548318047209800241e+01
2.631205673758865160e+01,2.580191404184854775e+01
2.656028368794326155e+01,2.612372732518377560e+01
2.680851063829787151e+01,2.644862032210368596e+01
2.705673758865248146e+01,2.677659303260827883e+01
2.730496453900709142e+01,2.710764545669755421e+01
2.755319148936170137e+01,2.744177759437151209e+01
2.780141843971631133e+01,2.777898944563015249e+01
2.804964539007092128e+01,2.811928101047347894e+01
2.829787234042553123e+01,2.846265228890148435e+01
2.854609929078014119e+01,2.880910328091417583e+01
2.879432624113475114e+01,2.915863398651154625e+01
2.904255319148936110e+01,2.951124440569360274e+01
2.929078014184397105e+01,2.986693453846033819e+01
2.953900709219858101e+01,3.022570438481175970e+01
2.978723404255319096e+01,3.058755394474786371e+01
3.003546099290780091e+01,3.095248321826865023e+01
3.028368794326241087e+01,3.132049220537411927e+01
3.053191489361702082e+01,3.169158090606427081e+01
3.078014184397163078e+01,3.206574932033910841e+01
3.102836879432624073e+01,3.244299744819862497e+01
3.127659574468085069e+01,3.282332528964282403e+01
3.152482269503546064e+01,3.320673284467170561e+01
3.177304964539007059e+01,3.359322011328526969e+01
3.202127659574468055e+01,3.398278709548351628e+01
3.226950354609928695e+01,3.437543379126644538e+01
3.251773049645390046e+01,3.477116020063407120e+01
3.276595744680850686e+01,3.516996632358635111e+01
3.301418439716312037e+01,3.557185216012334195e+01
3.326241134751772677e+01,3.597681771024500108e+01
3.351063829787234027e+01,3.638486297395134983e+01
3.375886524822694668e+01,3.679598795124237398e+01
3.400709219858156018e+01,3.721019264211808775e+01
3.425531914893616658e+01,3.762747704657847692e+01
3.450354609929078009e+01,3.804784116462356280e+01
3.475177304964538649e+01,3.847128499625331699e+01
